NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
557397;1;144;12;45.08;Un;18;0;0;5102;0
557397;2;155;3;39.72;Kg;18;0;20;5102;33.33
557397;3;121;33.09;32.2;Kg;18;0;20;5102;33.33
557397;4;108;5;16.8;Un;18;0;20;5102;33.33
557397;5;152;6.75;97.44;Kg;18;0;20;5102;33.33
557397;6;505;5;21.28;Kg;18;0;20;5102;61.11
557397;7;473;2;22.9;Kg;18;0;20;5102;33.33
557398;1;375;2;66.69;Un;18;0;20;5102;33.33
557398;2;389;1;58.8;Bd;18;0;20;5102;33.33
557398;3;307;1;48.72;Un;18;0;20;5102;33.33
557398;4;485;1;83.54;Kg;18;0;0;5102;0
557401;1;159;8.085;40.37;Kg;18;0;20;5102;33.33
557401;2;154;4;9.47;Un;18;0;20;5102;33.33
557401;3;104;4;6.2;Un;18;0;0;5102;0
557401;4;114;3.8;41.53;Kg;18;0;20;5102;33.33
557401;5;135;2;108.5;Bd;12;0;0;5102;0
557401;6;138;24;10.34;Un;0;0;60;5405;0
557401;7;319;1;44.08;Bd;18;0;20;5102;33.33
557401;8;117;14.28;61.48;Kg;18;0;20;5102;33.33
557401;9;1169;20;35.4;Kg;18;0;0;5102;0
557403;1;412;1;7.93;Kg;18;3;20;5102;33.33
557403;2;300;3;8;Un;0;3;60;5405;0
557403;3;302;1;42.06;Bd;18;3;20;5102;33.33
557403;4;712;0.8;25.8;Kg;18;3;20;5102;61.11
557403;5;328;1;52.46;Un;18;3;20;5102;33.33
557403;6;410;1;9.7;Kg;18;3;20;5102;33.33
557403;7;407;1;9.7;Kg;18;3;20;5102;33.33
557403;8;474;1;22.2;Un;18;3;20;5102;33.33
557403;9;442;1;27.93;Bd;0;3;0;5102;0
557403;10;396;4;11.56;Un;12;3;0;5102;0
557403;11;327;1;12.12;Kg;18;3;20;5102;33.33
557403;12;378;1;23.25;Un;18;3;20;5102;33.33
557403;13;364;1;21.24;Un;12;3;0;5102;0
557403;14;435;1;28.75;Un;18;3;20;5102;12
557403;15;453;1;28.55;Un;0;3;0;5102;0
557403;16;436;1;35.56;Un;0;3;0;5102;0
557403;17;456;2;32.26;Un;0;3;0;5102;0
557403;18;124;1;16.47;Un;18;3;20;5102;33.33
557403;19;122;12.7;38.99;Kg;12;3;0;5102;0
557403;20;156;1;39.72;Un;18;3;20;5102;33.33
557403;21;250;0.5;74.9;Kg;0;3;60;5405;0
557404;1;213;0.53;20.05;Kg;0;0;0;5102;0
557404;2;110;0.514;38.99;Kg;12;0;0;5102;0
557404;3;144;1;45.08;Un;18;0;0;5102;0
