CODCLIFOR;TIPOCF;CODREPRES;NOMEFAN;CIDADE;UF;CODMUNICIPIO;TIPOPESSOA;COBRBANC;PRAZOPGTO
1365;1;9;Cliente 1365;SÃO PAULO;SP;3550308;2;0;0
1366;1;31;Cliente 1366;UBATUBA;SP;3555406;2;-1;14
1367;1;9;Cliente 1367;SÃO PAULO;SP;3550308;2;-1;14
1368;1;30;Cliente 1368;SÃO PAULO;SP;3550308;2;-1;7
1369;1;4;Cliente 1369;UBATUBA;SP;3555406;2;-1;14
1371;1;9;Cliente 1371;SÃO PAULO;SP;3550308;2;-1;10
1372;1;9;Cliente 1372;SÃO PAULO;SP;3550308;2;-1;14
1373;1;27;Cliente 1373;SÃO PAULO;SP;3550308;2;-1;7
1374;1;9;Cliente 1374;SÃO PAULO;SP;3550308;2;-1;14
1375;1;11;Cliente 1375;SÃO PAULO;SP;3550308;2;-1;14
1376;1;6;Cliente 1376;SÃO PAULO;SP;3550308;2;0;14
1377;1;9;Cliente 1377;SÃO PAULO;SP;3550308;2;-1;14
1378;1;9;Cliente 1378;SÃO PAULO;SP;3550308;2;-1;14
1379;1;9;Cliente 1379;SÃO PAULO;SP;3550308;2;-1;14
1380;1;33;Cliente 1380;SÃO PAULO;SP;3550308;2;-1;14
1381;1;9;Cliente 1381;SÃO PAULO;SP;3550308;2;-1;14
1382;1;9;Cliente 1382;SÃO PAULO;SP;3550308;2;-1;10
1385;1;9;Cliente 1385;SÃO PAULO;SP;3550308;2;-1;28
1386;1;28;Cliente 1386;SÃO PAULO;SP;3550308;2;-1;7
1387;1;27;Cliente 1387;SÃO PAULO;SP;3550308;2;-1;14
1388;1;33;Cliente 1388;SÃO PAULO;SP;3550308;2;0;7
1389;1;9;Cliente 1389;SÃO PAULO;SP;3550308;2;-1;0
1390;1;31;Cliente 1390;UBATUBA;SP;3555406;2;0;14
1392;1;28;Cliente 1392;SÃO PAULO;SP;3550308;2;-1;14
1393;1;28;Cliente 1393;SÃO PAULO;SP;3550308;2;-1;14
1394;1;11;Cliente 1394;SÃO PAULO;SP;3550308;2;-1;14
1395;1;28;Cliente 1395;SÃO PAULO;SP;3550308;2;-1;14
1396;1;27;Cliente 1396;SÃO PAULO;SP;3550308;2;-1;14
1397;1;9;Cliente 1397;SÃO PAULO;SP;3550308;2;0;0
1398;1;30;Cliente 1398;SÃO PAULO;SP;3550308;2;-1;14
1399;1;9;Cliente 1399;SÃO PAULO;SP;3550308;2;0;0
1400;1;9;Cliente 1400;SÃO PAULO;SP;3550308;2;-1;14
1401;1;9;Cliente 1401;SÃO PAULO;SP;3550308;2;-1;14
1402;1;9;Cliente 1402;SÃO PAULO;SP;3550308;2;-1;14
1403;1;9;Cliente 1403;SÃO PAULO;SP;3550308;2;-1;14
1404;1;29;Cliente 1404;SÃO PAULO;SP;3550308;2;-1;21
1405;1;29;Cliente 1405;SÃO PAULO;SP;3550308;2;-1;10
1407;1;27;Cliente 1407;SÃO PAULO;SP;3550308;2;-1;21
1410;1;27;Cliente 1410;SÃO PAULO;SP;3550308;2;-1;14
1411;1;28;Cliente 1411;SÃO PAULO;SP;3550308;2;-1;14
1412;1;9;Cliente 1412;SÃO PAULO;SP;3550308;2;-1;14
1414;1;28;Cliente 1414;SÃO PAULO;SP;3550308;2;-1;14
1415;1;9;Cliente 1415;SÃO PAULO;SP;3550308;2;-1;14
1416;1;27;Cliente 1416;SÃO PAULO;SP;3550308;2;-1;21
1417;1;9;Cliente 1417;SÃO PAULO;SP;3550308;2;-1;14
1418;1;9;Cliente 1418;SÃO PAULO;SP;3550308;2;-1;14
1419;1;30;Cliente 1419;SÃO PAULO;SP;3550308;2;-1;7
1420;1;27;Cliente 1420;SÃO PAULO;SP;3550308;2;-1;14
